year,country_code,terror_count,arms_import,gdp_growth,life_expectancy
2014,ISL,1,50000000,1.9265264,82.86097561
2014,IND,823,3199000000,7.179433483,68.01380488
2014,IDN,33,1124000000,5.023889052,68.8884878
2014,IRN,9,13000000,4.343343402,75.38931707
2014,IRQ,3756,632000000,0.060108872,69.39968293
2014,IRL,33,40000000,8.462366745,81.34878049
2014,ISR,293,510000000,3.163047034,82.15365854
2014,ITA,7,145000000,0.091894998,83.0902439
2014,CIV,1,6000000,8.486345568,51.55958537
2014,JAM,1,1500000,0.694621084,75.6535122
2014,JPN,5,313000000,0.335664786,83.58780488
2014,JOR,3,196000000,3.096330275,74.05214634
2014,KEN,109,17000000,5.331859404,61.57636585
2014,KGZ,2,4000000,4.024038629,70.40243902
2014,LBN,192,6000000,1.8,79.37309756
2014,LBR,1,215165420.2,0.701141636,60.83441463
2014,LBY,649,17000000,-62.07591958,71.71612195
2014,MKD,3,1000000,3.540834355,75.34239024
2014,MDG,1,215165420.2,3.315854155,65.08560976
2014,MYS,11,73000000,6.01216652,74.71829268
2014,MDV,8,5000000,5.997326423,76.77282927
2014,MLI,65,7500000,7.043356204,57.98626829
2014,MLT,1,12000000,3.460979157,81.94634146
2014,MEX,5,98000000,2.245308567,76.72185366
2014,MOZ,22,12000000,7.443837429,55.02595122
2014,MMR,8,101000000,7.991243344,65.85785366
2014,NPL,7,5000000,5.988984661,69.60468293
2014,NLD,1,11000000,1.419690296,81.70731707
2014,NZL,1,79000000,3.5761758,81.40487805
2014,NIC,2,13000000,4.565212146,74.81014634
2014,NER,5,3000000,7.049797948,61.4584878
2014,NGA,634,225000000,6.309718253,52.75426829
2014,PAK,2100,797000000,4.674707981,66.18336585
2014,PRY,14,7500000,4.722333745,72.92170732
2014,PER,12,153000000,2.354333038,74.52553659
2014,PHL,580,12000000,6.218425752,68.26563415
2014,RUS,48,202000000,0.731458212,70.74365854
2014,RWA,2,14000000,7.00913242,63.96565854
2014,SAU,14,2731000000,3.638699049,74.33721951
2014,SEN,2,7000000,4.311051021,66.37258537
2014,SOM,601,2000000,2.698211474,55.35480488
2014,ZAF,20,50000000,1.628871543,57.18212195
2014,SSD,34,35000000,3.373648477,55.68221951
2014,ESP,3,127000000,1.378998287,83.22926829
2014,LKA,16,5000000,4.878603033,74.79480488
2014,SDN,127,61000000,2.679411813,63.45853659
2014,SWE,5,43000000,2.604326565,82.25365854
2014,SYR,283,15000000,2.698211474,70.07102439
2014,TJK,1,3000000,6.69925066,69.59797561
2014,TZA,11,26000000,6.965133317,64.94390244
2014,THA,423,105000000,0.817633102,74.42202439
2014,TUN,23,46000000,2.86812367,74.83534146
2014,TUR,80,1556000000,3.020118213,75.1635122
2014,TKM,1,102000000,10.29999997,65.59853659
2014,UGA,6,178750000,5.183828963,58.46641463
2014,UKR,820,1000000,-6.552618891,71.18658537
2014,ARE,2,737000000,3.079884331,77.36817073
2014,GBR,103,211000000,3.070483794,81.30487805
2014,USA,26,566000000,2.370457671,78.74146341
2014,VEN,4,171000000,-3.894386475,74.23619512
2014,YEM,713,6000000,-0.188690232,63.81819512
2014,ZWE,1,215165420.2,3.848290307,57.49831707
2015,AFG,1839,116000000,0.840718528,60.71717073
2015,ALB,4,7000000,2.800000001,78.01446341
2015,DZA,16,883000000,3.763466957,75.04253659
2015,ARG,1,20000000,2.647271419,76.33421951
2015,ARM,2,10500000,3,74.79712195
2015,AUS,7,1529000000,2.240028575,82.45121951
2015,BHR,18,17000000,2.862955875,76.81909756
2015,BGD,463,625000000,6.552633316,72.00119512
2015,BIH,6,215165420.2,3.034826724,76.58858537
2015,BRA,5,230000000,-3.769252669,74.67587805
2015,BGR,2,3000000,3.617442633,74.46585366
2015,BFA,4,8000000,4.021049409,58.93129268
2015,BDI,97,1000000,-3.904919353,57.10704878
2015,CMR,74,7000000,5.773247581,55.93439024
2015,CAN,5,413000000,0.941675857,82.13763415
2015,CAF,45,7000000,4.799886081,51.41912195
2015,TCD,26,30500000,1.799999521,51.87331707
2015,CHL,1,144000000,2.305566995,81.78756098
2015,CHN,15,1143000000,6.918336423,75.98634146
2015,COL,133,207000000,3.083285967,74.18202439
2015,CYP,3,23500000,1.679273729,80.30709756
2015,CZE,4,36000000,4.535628699,79.47317073
2015,COD,109,1000000,6.91618781,59.02390244
2015,DNK,4,46000000,1.606086132,81.1
2015,DJI,0,1000000,6.500508308,62.28565854
2015,ECU,1,27000000,0.157743724,76.10292683
2015,EGY,577,1404000000,4.2,71.31695122
2015,EST,2,18000000,1.444213103,77.13170732
2015,ETH,6,10000000,9.607518001,64.57804878
2015,FIN,9,288000000,0.268556389,81.38536585
2015,FRA,36,42000000,1.274180325,82.67073171
2015,GEO,1,2666666.667,2.774928095,74.81741463
2015,DEU,50,101000000,1.7207335,81.0902439
2015,GRC,31,763000000,-0.219147178,81.58780488
2015,GIN,2,3333333.333,0.099994528,59.19343902
2015,HUN,1,6000000,3.148083829,75.96097561
2015,IND,847,2858000000,7.933744293,68.34856098
2015,IDN,28,441000000,4.793921304,69.07168293
2015,IRN,9,13000000,-0.106807106,75.59134146
2015,IRQ,2626,1403000000,3.019924564,69.59026829
2015,IRL,29,43000000,26.27605727,81.50243902
2015,ISR,58,672000000,2.507836062,82.05121951
2015,ITA,5,294000000,0.731730561,83.4902439
2015,CIV,3,6000000,9.163380703,51.9197561
2015,JPN,10,351000000,1.219438139,83.84365854
2015,JOR,4,236000000,2.382686856,74.20334146
2015,KEN,68,30000000,5.649197078,62.13373171
2015,KWT,1,359000000,1.846999262,74.69790244
2015,KGZ,2,4000000,3.469281026,70.65121951
2015,LAO,2,7000000,7.350386008,66.53987805
2015,LBN,43,50000000,1.3,79.62860976
2015,LSO,1,215165420.2,1.611940435,49.96121951
2015,LBY,483,44000000,-62.07591958,71.82631707
2015,MKD,4,1000000,3.665280361,75.49534146
2015,MYS,5,117000000,4.968785216,74.87517073
2015,MDV,2,5000000,2.846643498,76.979
2015,MLI,112,7500000,5.962581591,58.45721951
2015,MLT,1,9333333.333,6.154958235,81.94634146
2015,MEX,19,392000000,2.464955925,76.92068293
2015,MNE,1,215165420.2,3.151191381,76.33770732
2015,MAR,1,46000000,4.508487465,74.28931707
2015,MOZ,6,10500000,6.609723214,55.3712439
2015,MMR,27,245000000,7.294031845,66.04207317
2015,NPL,47,14000000,2.725272191,69.97334146
2015,NLD,2,64000000,1.951710982,81.70731707
2015,NER,39,9000000,3.605301605,61.96902439
2015,NGA,582,183000000,2.652693623,53.04887805
2015,PAK,1202,723000000,4.712457804,66.37697561
2015,PRY,18,7500000,2.962236311,73.02563415
2015,PER,10,248000000,3.251202425,74.78073171
2015,PHL,708,153000000,5.905014562,68.4067561
2015,QAT,1,518000000,3.551015687,78.76258537
2015,RUS,21,118000000,-2.828240814,70.90853659
2015,SAU,97,3347000000,3.485616792,74.49334146
